"","x"
"5738","ZFAND1"
"5739","CCL18"
"5740","C3orf49"
"5741","AMY1C"
"5742","RRN3P3"
"5743","LOC146880"
"5744","RINT1"
"5745","C14orf183"
"5746","KIAA0408"
"5747","F13A1"
"5748","SLC10A1"
"5749","XPO6"
"5750","OGN"
"5751","GIPC2"
"5752","FMR1"
"5753","DUSP3"
"5754","ANKMY1"
"5755","C7orf50"
"5756","BBS9"
"5757","UNC119B"
"5758","C9orf72"
"5759","ENTPD6"
"5760","C14orf86"
"5761","PPP1R2P9"
"5762","ERCC4"
"5763","FAHD2B"
"5764","HMHA1"
"5765","EXD1"
"5766","HACL1"
"5767","RAD23A"
"5768","C1orf133"
"5769","HAUS1"
"5770","MIR34A"
"5771","FAM83B"
"5772","PPP5C"
"5773","RNASEH2C"
"5774","C9orf153"
"5775","CT47B1"
"5776","SCAMP4"
"5777","GHITM"
"5778","NDUFB7"
"5779","TXLNG"
"5780","ADCYAP1"
"5781","SP110"
"5782","AGRN"
"5783","DHH"
"5784","WDR33"
"5785","CEP290"
"5786","FAM171B"
"5787","PRPS1L1"
"5788","KLRA1"
"5789","GPR97"
"5790","TLR10"
"5791","CHD7"
"5792","SLC30A8"
"5793","HIC1"
"5794","IAPP"
"5795","SHQ1"
"5796","NKX2-3"
"5797","API5"
"5798","C5orf51"
"5799","GP1BB"
"5800","MOV10L1"
"5801","TRIM6-TRIM34"
"5802","ADHFE1"
"5803","RFPL1S"
"5804","FAM117A"
"5805","CDON"
"5806","TRIM73"
"5807","MMP14"
"5808","C11orf66"
"5809","DYNC1LI1"
"5810","FASTKD5"
"5811","BIVM"
"5812","NXF2B"
"5813","LHX4"
"5814","CXCL2"
"5815","RAB2B"
"5816","GOLGA6B"
"5817","POTEC"
"5818","IZUMO1"
"5819","MAP3K15"
"5820","ZC3H8"
"5821","FAM19A2"
"5822","ZMAT1"
"5823","SLC10A6"
"5824","PTPRQ"
"5825","LOC90246"
"5826","APPL2"
"5827","CARD10"
"5828","EEF1D"
"5829","RAB6A"
"5830","C12orf5"
"5831","PAPOLG"
"5832","OC90"
"5833","MSRB2"
"5834","BCR"
"5835","PUS3"
"5836","TIAM2"
"5837","ZNF317"
"5838","CHD2"
"5839","FZD5"
"5840","NUDT8"
"5841","ZNF763"
"5842","CELA3B"
"5843","ZSCAN21"
"5844","PRC1"
"5845","ABCB9"
"5846","MIR675"
"5847","TRAK2"
"5848","SPATA3"
"5849","STAB1"
"5850","SNAR-A4"
"5851","LRRTM2"
"5852","psiTPTE22"
"5853","DBI"
"5854","SERPINA11"
"5855","SCARNA15"
"5856","RPS6KA4"
"5857","TGFBRAP1"
"5858","CHRDL2"
"5859","CNTN1"
"5860","FAHD2A"
"5861","BBS4"
"5862","TTLL9"
"5863","TMEM181"
"5864","MINPP1"
"5865","MPHOSPH6"
"5866","CCL3L1"
"5867","SNORD83B"
"5868","ITPKB"
"5869","CLPTM1L"
"5870","HOXC10"
"5871","MEOX2"
"5872","ATP6V0C"
"5873","TTC39B"
"5874","PRPF8"
"5875","TMC5"
"5876","SNORA34"
"5877","FKBP3"
"5878","PLEKHB2"
"5879","OR4D6"
"5880","ZNF544"
"5881","C2orf72"
"5882","D2HGDH"
"5883","RPL18A"
"5884","TCERG1"
"5885","MPP6"
"5886","KRT16"
"5887","C2orf80"
"5888","KLF17"
"5889","RPRD1A"
"5890","KLF5"
"5891","MRC1L1"
"5892","LOC79015"
"5893","TMEM126A"
"5894","CDR1"
"5895","VCX3A"
"5896","FBLN2"
"5897","TMEM221"
"5898","C14orf104"
"5899","HBE1"
"5900","ROBO4"
"5901","LOC100129620"
"5902","C7orf61"
"5903","CPEB4"
"5904","MYOC"
"5905","BCKDHA"
"5906","C11orf80"
"5907","GSC2"
"5908","GIF"
"5909","CKMT1A"
"5910","RPL3"
"5911","THBS1"
"5912","APOO"
"5913","LOC728752"
"5914","ARMCX1"
"5915","SNAPC5"
"5916","EIF4ENIF1"
"5917","ZNF433"
"5918","TNFRSF21"
"5919","LY6G6F"
"5920","ABCA11P"
"5921","TMPRSS7"
"5922","WASH2P"
"5923","SPATA18"
"5924","MKL2"
"5925","HPDL"
"5926","TBX3"
"5927","DAXX"
"5928","RGS13"
"5929","ELMO1"
"5930","VCY"
"5931","UNC13A"
"5932","TAF11"
"5933","NCRNA00115"
"5934","ORC3L"
"5935","TARBP2"
"5936","TRIOBP"
"5937","CABIN1"
"5938","SNORD89"
"5939","HIST1H2AC"
"5940","RGS22"
"5941","NCOA1"
"5942","IL25"
"5943","SNCG"
"5944","LOC400084"
"5945","AMDHD1"
"5946","CHEK2"
"5947","HESRG"
"5948","ZNF705G"
"5949","C6orf142"
"5950","DRD4"
"5951","GDF11"
"5952","CD247"
"5953","TMEM200C"
"5954","RBMX2"
"5955","CDAN1"
"5956","TGS1"
"5957","OIT3"
"5958","SYF2"
"5959","MCM4"
"5960","PKHD1L1"
"5961","IFT88"
"5962","CEP192"
"5963","RPL9"
"5964","RAB32"
"5965","P2RX2"
"5966","DDX43"
"5967","OR5D18"
"5968","SLC24A1"
"5969","ARHGAP5"
"5970","ATXN1L"
"5971","DNM1P41"
"5972","SLC9A4"
"5973","KIAA1731"
"5974","FLJ13439"
"5975","PTPN6"
"5976","BAHD1"
"5977","GRIK3"
"5978","PDE10A"
"5979","CACNB2"
"5980","DGCR14"
"5981","PCDHB9"
"5982","RHOQ"
"5983","MAP3K4"
"5984","KTI12"
"5985","GNG11"
"5986","CLCN3"
"5987","GPAM"
"5988","HCG9"
"5989","ESYT2"
"5990","LOC84856"
"5991","VSTM2A"
"5992","SLAMF7"
"5993","INTS2"
"5994","PPP2CA"
"5995","LRP12"
"5996","SEC14L2"
"5997","CIRH1A"
"5998","CCZ1"
"5999","HIST1H2AB"
"6000","MECOM"
"6001","POTEM"
"6002","POLH"
"6003","MGC16703"
"6004","SNAPC2"
"6005","FILIP1L"
"6006","RASGRP4"
"6007","LRRC1"
"6008","GAS1"
"6009","PRAC"
"6010","DGKA"
"6011","PEG3"
"6012","NT5C3"
"6013","NADK"
"6014","SGSH"
"6015","NLRP8"
"6016","MCF2"
"6017","GALT"
"6018","ZNF263"
"6019","CLK2P"
"6020","TYR"
"6021","ATP6AP2"
"6022","ABHD10"
"6023","GDPD2"
"6024","SLC35C1"
"6025","NEURL4"
"6026","UBE2A"
"6027","HERC5"
"6028","FBXL16"
"6029","LOC145845"
"6030","RBM41"
"6031","LOC100129196"
"6032","SHPK"
"6033","RNH1"
"6034","PPP6R3"
"6035","PTTG3P"
"6036","C10orf131"
"6037","SNORA10"
"6038","SHANK2"
"6039","LAMB2L"
"6040","C2orf79"
"6041","OSBP2"
"6042","DAK"
"6043","C3orf58"
"6044","TCL1B"
"6045","MIR138-1"
"6046","KBTBD2"
"6047","UBE2E2"
"6048","SUGT1L1"
"6049","MYL9"
"6050","CDC23"
"6051","PBXIP1"
"6052","ILDR2"
"6053","CXorf40B"
"6054","RTBDN"
"6055","NBL1"
"6056","RAB11FIP5"
"6057","SOHLH1"
"6058","NCK1"
"6059","CDKN1A"
"6060","ZNF550"
"6061","LOC285419"
"6062","SPIN3"
"6063","MAGEE2"
"6064","MIS12"
"6065","UNC5D"
"6066","CUL7"
"6067","FAM157B"
"6068","LIPC"
"6069","DIO1"
"6070","HS3ST2"
"6071","C20orf11"
"6072","CTRL"
"6073","PAK4"
"6074","RNF10"
"6075","CCRL1"
"6076","ZNF567"
"6077","FAT1"
"6078","ZNF660"
"6079","TCEAL3"
"6080","MAGOH"
"6081","CENPB"
"6082","ZCCHC13"
"6083","HIST1H4H"
"6084","MBOAT4"
"6085","SNHG12"
"6086","TBRG1"
"6087","LOC729678"
"6088","GPC3"
"6089","TAF1C"
"6090","EBNA1BP2"
"6091","PDGFRA"
"6092","CIAPIN1"
"6093","CSTB"
"6094","ANXA2P1"
"6095","CENPI"
"6096","RPP21"
"6097","GTF2E2"
"6098","ZNF737"
"6099","FPR2"
"6100","CCNF"
"6101","KCNQ3"
"6102","HIGD2B"
"6103","NOVA1"
"6104","LOC286367"
"6105","LOC100133308"
"6106","FZD3"
"6107","AKAP8"
"6108","SOCS5"
"6109","CFDP1"
"6110","DLG5"
"6111","PGM5"
"6112","C1orf144"
"6113","RND2"
"6114","HDAC10"
"6115","C19orf69"
"6116","C10orf105"
"6117","LOC728723"
"6118","RNMT"
"6119","ASTN1"
"6120","SH3BGR"
"6121","MYCL1"
"6122","ZHX1"
"6123","CENPK"
"6124","FOSB"
"6125","LOC643406"
"6126","LOC100144602"
"6127","TMEM135"
"6128","SLC27A2"
"6129","DUX4L2"
"6130","SNORD91B"
"6131","OVOL1"
"6132","S100A7"
"6133","ZNF789"
"6134","HARS2"
"6135","UPF3B"
"6136","RPL23A"
"6137","C17orf78"
"6138","HLA-DOB"
"6139","C14orf142"
"6140","UBE2V1"
"6141","TEKT5"
"6142","POLD1"
"6143","DMWD"
"6144","CALD1"
"6145","SCRT1"
"6146","AIG1"
"6147","POM121C"
"6148","ZNF404"
"6149","TMED6"
"6150","KIAA1462"
"6151","LRRC27"
"6152","PYGO1"
"6153","PIGU"
"6154","NSFP1"
"6155","WRNIP1"
"6156","ALAS2"
"6157","CNNM3"
"6158","ZNF2"
"6159","ST3GAL5"
"6160","MRPL23"
"6161","TSSK6"
"6162","TYW1"
"6163","ANO3"
"6164","CSDAP1"
"6165","PSMA6"
"6166","C10orf113"
"6167","C16orf70"
"6168","ZNF823"
"6169","KIAA0564"
"6170","ALMS1"
"6171","LOC400931"
"6172","TMEM132D"
"6173","DCN"
"6174","SUCLG2"
"6175","JMJD7-PLA2G4B"
"6176","FAM47E"
"6177","ABHD14A"
"6178","SNORA72"
"6179","DEXI"
"6180","AMPD2"
"6181","IFNAR2"
"6182","CYB5A"
"6183","NXF5"
"6184","NRBF2"
"6185","P2RY11"
"6186","KCTD3"
"6187","ITGAE"
"6188","SLC30A3"
"6189","IFRD2"
"6190","PYCR2"
"6191","TMLHE"
"6192","SERPINB3"
"6193","GEFT"
"6194","ABCA5"
"6195","TSFM"
"6196","ARHGEF19"
"6197","HIST3H2BB"
"6198","TSPAN17"
"6199","ABCC8"
"6200","MAP1S"
"6201","C22orf36"
"6202","BNC2"
"6203","HIST1H4A"
"6204","NDUFS3"
"6205","WDR3"
"6206","XKR4"
"6207","C15orf54"
"6208","TTC33"
"6209","STMN2"
"6210","LPPR5"
"6211","CPN2"
"6212","PCOLCE2"
"6213","C3orf55"
"6214","CBY3"
"6215","TPI1P3"
"6216","KLHDC9"
"6217","ALG1"
"6218","TBC1D23"
"6219","LOC646201"
"6220","MAP2K3"
"6221","ATXN2L"
"6222","SCAP"
"6223","ZNF486"
"6224","C20orf96"
"6225","NARS"
"6226","MIR483"
"6227","PRCC"
"6228","ADAMTSL1"
"6229","CCDC126"
"6230","ZNF675"
"6231","TMEM215"
"6232","SMAP2"
"6233","ANKRD43"
"6234","CALCOCO1"
"6235","CWF19L2"
"6236","ZBTB32"
"6237","LOC644538"
"6238","ODF4"
"6239","BRAF"
"6240","HORMAD1"
"6241","PEBP1"
"6242","AAK1"
"6243","RMND1"
"6244","COL1A2"
"6245","SERPINA5"
"6246","AANAT"
"6247","C19orf21"
"6248","GEMIN5"
"6249","UBR4"
"6250","LTBP3"
"6251","PSIMCT-1"
"6252","AMHR2"
"6253","PROCR"
"6254","MYBBP1A"
"6255","ZNF697"
"6256","PASK"
"6257","ZNF776"
"6258","FLJ43663"
"6259","KIAA0467"
"6260","C10orf96"
"6261","ZNF503"
"6262","FAM75C2"
"6263","GULP1"
"6264","KCNE4"
"6265","CH25H"
"6266","LOC81691"
"6267","ALPL"
"6268","COL12A1"
"6269","MIR1287"
"6270","FOLR3"
"6271","GPR123"
"6272","TRIM62"
"6273","ABLIM1"
"6274","MAST3"
"6275","RHBDD1"
"6276","RYBP"
"6277","TTC26"
"6278","ZNF22"
"6279","ISCA2"
"6280","PNP"
"6281","RDM1"
"6282","C15orf61"
"6283","PIGM"
"6284","GNB3"
"6285","ACTR2"
"6286","HMGB1"
"6287","SOAT2"
"6288","RAP1GDS1"
"6289","OR10AD1"
"6290","SNORA60"
"6291","ESM1"
"6292","RCN3"
"6293","C17orf103"
"6294","PTGER3"
"6295","DBNL"
"6296","USP30"
"6297","LOC151009"
"6298","KANK1"
"6299","BCL2L12"
"6300","KIF26B"
"6301","ZNF416"
"6302","ZNF225"
"6303","C17orf70"
"6304","ZNF554"
"6305","RAE1"
"6306","UBTFL1"
"6307","TNIK"
"6308","ACTN3"
"6309","CCNA1"
"6310","RYK"
"6311","IL26"
"6312","QARS"
"6313","LRP3"
"6314","SOX7"
"6315","OR2S2"
"6316","BID"
"6317","BASE"
"6318","CXCL14"
"6319","LOC284276"
"6320","PRDM14"
"6321","HSPB8"
"6322","NUFIP2"
"6323","MNAT1"
"6324","ZDHHC2"
"6325","MBNL2"
"6326","ADD3"
"6327","DKFZp686O1327"
"6328","KLK6"
"6329","CSNK2A1P"
"6330","TMEM111"
"6331","KIAA1279"
"6332","RAB42"
"6333","NUBP2"
"6334","ID3"
"6335","TM9SF1"
"6336","FCRL6"
"6337","POU4F2"
"6338","IQCK"
"6339","CAPN3"
"6340","SCARNA23"
"6341","FAM43B"
"6342","RECQL"
"6343","AP1G1"
"6344","CTNNBL1"
"6345","ECHDC1"
"6346","SMARCC1"
"6347","FOXQ1"
"6348","KBTBD13"
"6349","GNAI3"
"6350","LOC642236"
"6351","POLG2"
"6352","CD4"
"6353","TRMT61B"
"6354","ITLN1"
"6355","IRF1"
"6356","PTPRE"
"6357","PTK2B"
"6358","ZSCAN5A"
"6359","AGAP5"
"6360","NXNL2"
"6361","MIR3188"
"6362","SOX4"
"6363","IFI27L1"
"6364","TSPAN3"
"6365","SH2D1A"
"6366","C8orf58"
"6367","USP20"
"6368","DUSP22"
"6369","NCRNA00157"
"6370","CALB1"
"6371","LOC729668"
"6372","L3MBTL2"
"6373","MCRS1"
"6374","C18orf8"
"6375","PKD1"
"6376","ZFP3"
"6377","JAM3"
"6378","LAPTM4A"
"6379","DIRC2"
"6380","KIAA2022"
"6381","TRPM8"
"6382","MYOM1"
"6383","AGAP11"
"6384","PHKG2"
"6385","KIAA1522"
"6386","PSG8"
"6387","CDK15"
"6388","DDX19B"
"6389","WASH1"
"6390","MOBKL1B"
"6391","DIAPH2"
"6392","PTPN12"
"6393","CLN8"
"6394","CRYZL1"
"6395","CRY2"
"6396","PNPLA4"
"6397","FCGR2B"
"6398","ZNF454"
"6399","CLDN11"
"6400","RFWD2"
"6401","ARPP21"
"6402","CIB2"
"6403","MXRA8"
"6404","HRK"
"6405","MAML2"
"6406","C4orf31"
"6407","C6orf192"
"6408","COG6"
"6409","SNORD60"
"6410","FAM5B"
"6411","SP6"
"6412","NFATC1"
"6413","41162"
"6414","B3GNT9"
"6415","SCYL1"
"6416","RPP40"
"6417","SCOC"
"6418","CTDSPL2"
"6419","TBX5"
"6420","NAPG"
"6421","RHD"
"6422","C14orf45"
"6423","ZBTB22"
"6424","PLCG1"
"6425","ANKRD10"
"6426","AQP7P2"
"6427","TAGLN2"
"6428","SLC16A7"
"6429","HTR2C"
"6430","TSGA14"
"6431","MDH1"
"6432","DCBLD2"
"6433","FTLP10"
"6434","RBM33"
"6435","DPH3"
"6436","SYT10"
"6437","GYG2P1"
"6438","FMO4"
"6439","THYN1"
"6440","PGRMC2"
"6441","KATNAL1"
"6442","DRD5"
"6443","UBE2I"
"6444","PAQR6"
"6445","MEIS3P1"
"6446","C1orf227"
"6447","LOC650623"
"6448","C14orf28"
"6449","FLYWCH1"
"6450","GLRX2"
"6451","LRRC38"
"6452","ATP11A"
"6453","ARL5B"
"6454","MUC16"
"6455","SLC25A5"
"6456","MYO1C"
"6457","ACRC"
"6458","FAM89B"
"6459","FAS"
"6460","KIFAP3"
"6461","BTN3A2"
"6462","GLRA2"
"6463","LOC731789"
"6464","CNKSR3"
"6465","BTBD17"
"6466","ARPM1"
"6467","CSTF3"
"6468","KIAA1530"
"6469","PRKCI"
"6470","C9orf150"
"6471","ZNF648"
"6472","SOD3"
"6473","ZNF574"
"6474","CYP21A2"
"6475","RPL12"
"6476","COMMD2"
"6477","WIZ"
"6478","ALDH4A1"
"6479","CEACAM22P"
"6480","SPRYD4"
"6481","CRYAB"
"6482","COPA"
"6483","PCDHGA7"
"6484","SLC26A3"
"6485","RASD2"
"6486","KIF11"
"6487","ZNF175"
"6488","SYNC"
"6489","MIR548C"
"6490","JAKMIP2"
"6491","SLC40A1"
"6492","PTHLH"
"6493","C8orf4"
"6494","TRMT112"
"6495","OR7D4"
"6496","CDKN2BAS"
"6497","PCDHB17"
"6498","CD36"
"6499","KIAA1143"
"6500","LOC100128098"
"6501","C6orf203"
"6502","PRKG2"
"6503","DCAF12"
"6504","ANAPC13"
"6505","LMF1"
"6506","SLCO3A1"
"6507","ZNF692"
"6508","FANCL"
"6509","SH3GLB1"
"6510","TXNRD3IT1"
"6511","KBTBD6"
"6512","C12orf61"
"6513","XRCC6"
"6514","SUPT5H"
"6515","MIR320A"
"6516","HUS1B"
"6517","FAM133B"
"6518","KCTD18"
"6519","C12orf76"
"6520","SOS2"
"6521","C1QTNF5"
"6522","CCDC99"
"6523","NNAT"
"6524","USP16"
"6525","LARS"
"6526","ZBTB2"
"6527","ABO"
"6528","TRAF3"
"6529","GALNT5"
"6530","PCP4L1"
"6531","C9orf171"
"6532","ALG14"
"6533","WDR75"
"6534","TEX261"
"6535","LOC100272217"
"6536","LY86"
"6537","MBD3L4"
"6538","MRGPRX2"
"6539","SNRPA"
"6540","LOC100134868"
"6541","GPRASP2"
"6542","C7orf42"
"6543","C9orf163"
"6544","TCHHL1"
"6545","FCRL3"
"6546","PRDX1"
"6547","FGB"
"6548","NACC2"
"6549","COX17"
"6550","PIWIL1"
"6551","FOLR1"
"6552","TMCC2"
"6553","ARHGAP33"
"6554","FAM27B"
"6555","TCF12"
"6556","ZNF721"
"6557","POU4F1"
"6558","SNRPF"
"6559","SGIP1"
"6560","ZNF641"
"6561","EMG1"
"6562","PRRG4"
"6563","HIRA"
"6564","MYNN"
"6565","AEBP2"
"6566","TBXA2R"
"6567","ISL2"
"6568","PCDHB11"
"6569","TECR"
"6570","RNF144A"
"6571","NEAT1"
"6572","40973"
"6573","SNORA24"
"6574","DULLARD"
"6575","ITGA8"
"6576","DCLRE1B"
"6577","TP73"
"6578","PRKCD"
"6579","NDUFB4"
"6580","ATP13A4"
"6581","ANTXR2"
"6582","COL4A3"
"6583","MYO10"
"6584","PEX1"
"6585","TMEM74"
"6586","TAPBP"
"6587","RBM19"
"6588","RUNX1"
"6589","MID1"
"6590","GPR64"
"6591","RASEF"
"6592","GABRG1"
"6593","MYO16"
"6594","DBF4"
"6595","TSHZ2"
"6596","RIPK2"
"6597","PPTC7"
"6598","LRRC31"
"6599","KIF4B"
"6600","ZNF540"
"6601","LOH12CR1"
"6602","EFNB3"
"6603","STON2"
"6604","GLP1R"
"6605","CSTF2T"
"6606","SNX31"
"6607","IREB2"
"6608","PDCD7"
"6609","GRSF1"
"6610","LRRC43"
"6611","CNR1"
"6612","IL1F7"
"6613","C12orf64"
"6614","NAA16"
"6615","FAM69B"
"6616","MAGT1"
"6617","NR2E1"
"6618","MS4A6A"
"6619","C7orf36"
"6620","FTL"
"6621","PCLO"
"6622","DYRK2"
"6623","ARIH2"
"6624","SAMD7"
"6625","SCNN1D"
"6626","SLC32A1"
"6627","LOC286002"
"6628","BHLHE22"
"6629","C22orf25"
"6630","MRPS18A"
"6631","AQPEP"
"6632","EARS2"
"6633","GPR112"
"6634","ERN2"
"6635","PRH2"
"6636","LOC285629"
"6637","CDKN2D"
"6638","LOC100133985"
"6639","VENTXP7"
"6640","STUB1"
"6641","INS-IGF2"
"6642","ZNF679"
"6643","TRIM40"
"6644","FLJ39639"
"6645","SLC22A1"
"6646","BTN2A3"
"6647","RASA4"
"6648","DYNLL2"
"6649","MYBPC3"
"6650","CCNL2"
"6651","GJA4"
"6652","FAM136B"
"6653","TRPV2"
"6654","CDC42SE1"
"6655","MYPN"
"6656","SIM1"
"6657","ZFHX4"
"6658","RNU11"
"6659","CDADC1"
"6660","ADAMTS19"
"6661","TSPYL2"
"6662","ABTB2"
"6663","EIF2S3"
"6664","SOX30"
"6665","AP2A1"
"6666","CXorf66"
"6667","DYSFIP1"
"6668","CDH18"
"6669","CHL1"
"6670","GATS"
"6671","TBC1D2B"
"6672","P2RX6"
"6673","C2CD4B"
"6674","MAGEA9B"
"6675","NAA20"
"6676","DPCR1"
"6677","GSN"
"6678","SMARCA5"
"6679","ZBTB45"
"6680","PLEKHG3"
"6681","PLS1"
"6682","FRMD6"
"6683","DGKZ"
"6684","EFNA1"
"6685","WDR85"
"6686","INTS4L2"
"6687","ANK2"
"6688","PAGE4"
"6689","SENP6"
"6690","AKR7A2"
"6691","FKBP10"
"6692","HTA"
"6693","VEGFC"
"6694","CERKL"
"6695","LARP1"
"6696","SRBD1"
"6697","ITGB6"
"6698","SLC1A2"
"6699","INVS"
"6700","MPO"
"6701","MOBKL3"
"6702","NTF4"
"6703","KLK2"
"6704","VIM"
"6705","REG1B"
"6706","PCDHGC4"
"6707","C3orf34"
"6708","SUMO3"
"6709","P4HTM"
"6710","MLL4"
"6711","NAA50"
"6712","TMEM209"
"6713","SPR"
"6714","SAMD9L"
"6715","ABCE1"
"6716","OR4F5"
"6717","SUPT3H"
"6718","PRG1"
"6719","ADAMTS4"
"6720","SLIT3"
"6721","RHEBL1"
"6722","NPM2"
"6723","MAN1C1"
"6724","LOC148413"
"6725","CMC1"
"6726","HSPA6"
"6727","LOC388152"
"6728","C10orf140"
"6729","SNORA53"
"6730","ZDHHC12"
"6731","PHC2"
"6732","LIN7A"
"6733","DBX1"
"6734","SVOP"
"6735","BOD1P"
"6736","OOEP"
"6737","TRIM26"
"6738","SPHK1"
"6739","FAM83E"
"6740","LOC387895"
"6741","ZNF578"
"6742","ORAI1"
"6743","IL34"
"6744","RUVBL1"
"6745","APAF1"
"6746","SLC36A4"
"6747","UBA3"
"6748","NEK1"
"6749","MYH11"
"6750","MPP2"
"6751","TNK2"
"6752","MATN3"
"6753","C12orf24"
"6754","IFNGR2"
"6755","ITPR1"
"6756","EBF3"
"6757","TBC1D20"
"6758","DDAH2"
"6759","SHPRH"
"6760","STX7"
"6761","BCAR1"
"6762","ATXN3"
"6763","C5orf49"
"6764","TRIM27"
"6765","ADO"
"6766","CDC42EP2"
"6767","CHP"
"6768","H19"
"6769","SOX17"
"6770","ZNF259"
"6771","CHCHD1"
"6772","ZDHHC19"
"6773","RNF187"
"6774","SNORD57"
"6775","MRC2"
"6776","LOC339505"
"6777","GARNL3"
"6778","GBP2"
"6779","C1orf52"
"6780","RPL19P12"
"6781","LRPPRC"
"6782","ACVR1C"
"6783","LOC401233"
"6784","TM4SF18"
"6785","TMEM169"
"6786","PPP1R16A"
"6787","EBF1"
"6788","RRS1"
"6789","NCRNA00085"
"6790","AOX2P"
"6791","SNX2"
"6792","OR2T2"
"6793","RBX1"
"6794","CLEC18B"
"6795","ANKRD54"
"6796","TSNAX"
"6797","MYO18A"
"6798","ZBTB7A"
"6799","ATM"
"6800","TIE1"
"6801","HIST1H3G"
"6802","PASD1"
"6803","FAM69C"
"6804","BLOC1S3"
"6805","PCDHAC2"
"6806","HOXA11AS"
"6807","WBSCR17"
"6808","TFF2"
"6809","RNFT2"
"6810","PARP2"
"6811","PCDHGB2"
"6812","NDFIP2"
"6813","WDR60"
"6814","MAP7D2"
"6815","USP45"
"6816","HHIPL2"
"6817","TNS1"
"6818","PLCD4"
"6819","IQCD"
"6820","SMPX"
"6821","CD9"
"6822","SRGN"
"6823","MS4A15"
"6824","CASP7"
"6825","VMAC"
"6826","USP53"
"6827","CAMK1G"
"6828","TMEM106A"
"6829","CDC20"
"6830","ACSL5"
"6831","KIAA1274"
"6832","C1orf87"
"6833","CBWD5"
"6834","PRUNE2"
"6835","LYPLA2"
"6836","DOK6"
"6837","CTSLL2"
"6838","DKFZp686O24166"
"6839","GPR149"
"6840","TMEM129"
"6841","SLC35B3"
"6842","ACPP"
"6843","SLC4A7"
"6844","CCDC40"
"6845","GART"
"6846","THOP1"
"6847","TRIAP1"
"6848","SCARB1"
"6849","CACNA1F"
"6850","SFRS8"
"6851","PBOV1"
"6852","GJB7"
"6853","CAMK2N1"
"6854","GREM1"
"6855","SUN2"
"6856","QPCT"
"6857","UTP23"
"6858","PRKAG2"
"6859","CELF3"
"6860","SNORA77"
"6861","H2AFX"
"6862","LOC100131257"
"6863","C6orf154"
"6864","PLOD3"
"6865","ZBTB39"
"6866","WASF3"
"6867","DRG1"
"6868","SPCS1"
"6869","PRR4"
"6870","KDELR3"
"6871","SRP19"
"6872","GABRA6"
"6873","MMEL1"
"6874","MFSD1"
"6875","PTPRVP"
"6876","C21orf129"
"6877","PDXDC2"
"6878","BUB1"
"6879","RNF138"
"6880","MYLPF"
"6881","AIF1"
"6882","DYNLRB1"
"6883","HCN3"
"6884","HIST1H2AI"
"6885","MAP4K5"
"6886","LASP1"
"6887","PLAA"
"6888","FOXD4L4"
"6889","KRT6A"
"6890","ARHGAP23"
"6891","NCRNA00258"
"6892","LOC144776"
"6893","PTF1A"
"6894","GPHA2"
"6895","SIGMAR1"
"6896","MCL1"
"6897","EHBP1"
"6898","PRNP"
"6899","ZSCAN1"
"6900","ADCY10"
"6901","C1orf113"
"6902","FOXA3"
"6903","NEB"
"6904","OPALIN"
"6905","ASGR1"
"6906","CTGF"
"6907","RAB17"
"6908","LOC613038"
"6909","USP37"
"6910","PTBP1"
"6911","PTPN7"
"6912","LPAR2"
"6913","CDC7"
"6914","ZNF335"
"6915","SNX7"
"6916","CPT2"
"6917","HEATR1"
"6918","C5orf40"
"6919","PSME1"
"6920","SUGT1P1"
"6921","NAA35"
"6922","LOC286083"
"6923","PMCHL2"
"6924","STAG3"
"6925","TMEM154"
"6926","MTX3"
"6927","KLHL32"
"6928","TSGA10IP"
"6929","SUV420H2"
"6930","SF1"
"6931","SNORD102"
"6932","PNLIPRP2"
"6933","NUP210"
"6934","RAB11B"
"6935","ANP32C"
"6936","ITGB3BP"
"6937","ASB15"
"6938","DMRTC1"
"6939","PPAN"
"6940","HDHD1"
"6941","YWHAB"
"6942","TPRX1"
"6943","LY6G5C"
"6944","ACAP1"
"6945","CLRN1OS"
"6946","SLC7A2"
"6947","CXCR5"
"6948","CLK1"
"6949","TNFAIP1"
"6950","HSD3B7"
"6951","VDR"
"6952","C16orf74"
"6953","ACE"
"6954","PSMA2"
"6955","ZNF213"
"6956","EML2"
"6957","NANOGNB"
"6958","GLYATL1"
"6959","DHFRL1"
"6960","SH3RF2"
"6961","DLL3"
"6962","TIGD7"
"6963","CPA1"
"6964","GFRA3"
"6965","RTN4"
"6966","PPT2"
"6967","MFSD2B"
"6968","FASLG"
"6969","FOXP4"
"6970","RPL26"
"6971","GNL3L"
"6972","FMR1NB"
"6973","UHRF1BP1"
"6974","SGPP2"
"6975","CD163"
"6976","CD37"
"6977","GIMAP2"
"6978","NBLA00301"
"6979","DPT"
"6980","RGS5"
"6981","C9orf4"
"6982","ACTL8"
"6983","PRKAR2B"
"6984","OPLAH"
"6985","C20orf134"
"6986","SPACA5"
"6987","TBL1X"
"6988","TSPYL3"
"6989","CHCHD3"
"6990","LOC729176"
"6991","GPR65"
"6992","LOC400043"
"6993","DFFA"
"6994","FUT1"
"6995","C6orf204"
"6996","OSTC"
"6997","TMEM51"
"6998","ZNF580"
"6999","WDR11"
"7000","CMTM2"
"7001","FITM1"
"7002","C20orf200"
"7003","EZH1"
"7004","MIR1270"
"7005","MRPL32"
"7006","FDX1L"
"7007","ALOX15B"
"7008","CD59"
